path,label
./data/dataset\c03-021c-s00-01.png,old man .
./data/dataset\g06-018m-s01-00.png,"In late November , he was ' suffering as"
./data/dataset\p02-000-s03-00.png,The girl
./data/dataset\h01-010-s01-00.png,In Wales and Monmouthshire the question
./data/dataset\a02-020-s00-02.png,"Foreign Minister , and Mr. Heath ."
./data/dataset\m04-209-s01-00.png,People were always losing
./data/dataset\e07-090-s02-04.png,suitable container available in quantity
./data/dataset\j06-051-s03-00.png,Yet in spite
./data/dataset\g06-115-s00-03.png,headed cane to depart .
./data/dataset\h02-022-s00-01.png,and we hope that arrangements will be made to ensure
./data/dataset\e07-079-s02-05.png,from any point of view .
./data/dataset\l01-111-s05-00.png,""" You - you polecat ! "" she screeched , and"
./data/dataset\r06-022-s02-00.png,When we woke up properly it
./data/dataset\r02-117-s08-02.png,dinner ready . '
./data/dataset\e07-012-s00-00.png,From the day it hatches in the spring
./data/dataset\m01-026-s03-01.png,trying to shake-off the last traces of hypnotic after-effects .
./data/dataset\a01-053u-s03-02.png,can be considered by the full Senate .
./data/dataset\h06-096-s00-03.png,passes on through two pairs of
./data/dataset\g04-007-s01-00.png,We managed to furnish
./data/dataset\c02-017-s00-03.png,table night club near his church be re-
./data/dataset\b04-000-s00-00.png,A BAFFLED and bewildered little country
./data/dataset\a06-020-s01-00.png,In reply to the call for his resignation he said :
./data/dataset\n06-074-s04-00.png,""" It 'll be here to-"
./data/dataset\b06-036-s01-02.png,building up their power .
./data/dataset\a03-047-s00-03.png,baker was in the last two campaigns .
./data/dataset\b06-008-s02-02.png,"the "" strongest militarily in Europe and the"
./data/dataset\h01-010-s00-03.png,proportion of widows predominates in the higher age
./data/dataset\m02-066-s01-00.png,A matter which on Earth would hardly
./data/dataset\h07-040-s02-01.png,cost of town centre development has
./data/dataset\n03-103-s01-04.png,"corner of the pier by inches , and"
./data/dataset\k07-067a-s02-01.png,a cigarette .
./data/dataset\b06-049-s01-02.png,lines of difference with the Tories .
./data/dataset\e01-055-s01-04.png,trends .
./data/dataset\g06-045r-s00-06.png,Dr. Samuel Hahnemann .
./data/dataset\a03-043-s00-00.png,"However , a separate poll revealed that Mr."
./data/dataset\b02-045-s00-03.png,"principle , that is all that need be required of it ."
./data/dataset\b04-034-s00-01.png,the B.B.C. : -
./data/dataset\p03-047-s02-00.png,"NUF 121 . """
./data/dataset\h06-003-s02-00.png,The main increase in
./data/dataset\f07-101b-s00-02.png,very funny story which made Carlyle absolutely laugh ;
./data/dataset\d06-107-s01-00.png,To have order does not mean getting
./data/dataset\f01-066-s02-04.png,the basis of all those experiences and phenomena which
